gene	lowMean	highMean	logFC	pValue	fdr
CGB5	0.569653726287263	9.72020025542784	4.09282891243291	0.0258523698277891	0.0426636479961493
IGLV3-6	2.2539460704607	0.843114303959132	-1.41865285620172	0.0240340916786532	0.0401006352139801
ERO1B	23.6520661246612	11.3305840357599	-1.06174398870521	5.12435649084453e-13	9.57115306329705e-12
TRIM31	4.6732358401084	13.6550299489144	1.54693872691751	0.000133075010553589	0.000410436565895062
RAB3B	1.49256978319783	3.5866438697318	1.26483611779437	1.03474569875946e-13	2.2213818463862e-12
RHOV	24.8615657181572	103.941679246488	2.06378521037074	1.89633797413983e-17	8.56504442397857e-16
GREB1	4.34558455284553	2.02233735632184	-1.10352657581575	0.000262910090762033	0.00075528557215612
SEMA3A	5.16509972899729	13.4314004469987	1.37874162719552	4.80909465786024e-12	7.38087793517491e-11
IGHJ6	168.758984620596	79.6518213282248	-1.08318505629054	0.000347120298435834	0.000969806373634434
ITLN2	3.46042086720867	1.24294425287356	-1.47718592189711	6.54054639663403e-05	0.000218228509639472
BRIP1	1.79580989159892	3.71233492975734	1.0476922461317	9.939823264108e-28	6.17298524069907e-25
ABCC2	3.30451849593496	16.5604228607918	2.32522753579136	0.00147958735750985	0.00349620736781634
LINC00460	0.817274119241192	4.55342062579821	2.47805878131771	2.52343886537685e-08	1.77293246181972e-07
UPK1B	7.71922594850948	28.4432385696041	1.88155764823445	0.0102093890124715	0.0190035394495683
F5	5.23419905149052	10.9063190293742	1.05912356777343	9.3323096646359e-07	4.76172337905967e-06
HOATZ	2.2702102303523	1.00096647509579	-1.18143224743996	0.0135935144378107	0.0244356071506879
GNMT	3.47254315718157	1.50545836526181	-1.20578981465505	2.02426117316123e-17	9.09557559175727e-16
B4GALNT1	1.36472140921409	2.96324431673052	1.11857110698908	4.73273622647802e-07	2.55582454168405e-06
CDC6	8.73071619241192	20.6108	1.23922859355828	3.98758911841649e-31	1.15566978633574e-27
MTCO1P40	67.6465546070461	28.9178674329502	-1.22605529260942	0.0119516582397372	0.0217894092189967
SCTR	31.4733389566396	12.9986627075351	-1.27576703245841	1.05157907725903e-13	2.25473595246082e-12
SLCO4A1	4.9905135501355	12.3115560025543	1.30275291989123	6.54296298203746e-14	1.48338439758343e-12
AL109914.1	2.59972323848238	1.29669706257982	-1.0035165717566	0.00269208285136271	0.0059316559430241
AL445493.3	2.882975	1.12574316730524	-1.35668060514263	9.33411565969143e-13	1.64282325107666e-11
FAM72B	0.772016260162602	1.72873991060026	1.16301769254986	3.75937748977289e-24	6.88124370206956e-22
MUC16	3.23723367208672	6.97073920817369	1.10655014715297	1.42249865173544e-15	4.60629963780774e-14
KIFC1	19.3206257452575	40.8396989144317	1.07983041006299	8.74275700564141e-24	1.40766482936202e-21
GNLY	11.961691395664	39.9096851213282	1.73831749379963	0.00571904265601531	0.0114770262833757
ADGRF4	2.67956246612466	10.04563550447	1.90649948062029	1.55114254293335e-24	3.21104972369857e-22
S100A2	33.7473785230352	171.250537292465	2.34326117057752	3.45566482634174e-08	2.35188084795525e-07
SPOCD1	2.4931039295393	5.70079106002554	1.19321910072183	2.51472500493471e-10	2.64221363155797e-09
CHEK1	6.95636429539295	14.9415038314176	1.10291996797881	3.49803435147634e-27	2.02757731126074e-24
HMMR	7.91840386178862	16.0078800127714	1.01550070263171	1.23025473023611e-24	2.70796196254123e-22
BPIFB1	280.36542405149	137.871685121328	-1.02398224135132	0.0117983855848065	0.0215619787947078
CENPE	2.78217676151762	6.15738767560664	1.14610432270611	1.75254462877516e-24	3.54360448253154e-22
LAMA1	0.586212466124661	2.76513908045977	2.23785649354084	3.06723838189703e-08	2.10732985717135e-07
PAX8	1.58327174796748	4.07501787994891	1.36389749293301	0.0161592671409132	0.0284004110193728
TNC	74.3111483062331	159.159761111111	1.09882507065853	1.67610294808808e-08	1.22461151950856e-07
TAS1R1	2.04731463414634	0.606490357598978	-1.75517622108802	9.36725542375894e-13	1.64698892379923e-11
S100A16	276.782477642276	559.347343869732	1.01499183432802	9.0956899593625e-20	6.5088457902615e-18
TMEM132D	1.78297906504065	0.659700574712644	-1.4344064967063	1.7881512094606e-07	1.05118868767107e-06
TNS4	9.96279430894309	41.507880715198	2.05876293033744	8.79052703528482e-14	1.91552472243894e-12
ESPL1	3.94826029810298	8.23581954022989	1.06069511269266	1.10800962030488e-21	1.0824258026675e-19
AC092128.1	1.66461951219512	0.593825159642401	-1.48708232826426	0.0147003769527331	0.0261375107189239
CYP4Z2P	3.18465372628726	0.616591954022988	-2.36874854512503	5.25945886493629e-19	3.29843974889832e-17
DEPDC1B	4.5071370596206	9.29792567049808	1.04469757040373	5.07353899221866e-23	6.94675350674727e-21
UICLM	1.78560928184282	0.858656449553001	-1.05626350535517	9.86293551091121e-11	1.13505351157667e-09
KRT83	0.663910027100271	1.97427426564496	1.5722627762137	0.0105637786439741	0.0195751861509021
RN7SL8P	2.76774017615176	0.947474776500639	-1.54654907342171	1.69891815000443e-11	2.29011532638969e-10
FOXM1	12.5497658536585	30.4651137931034	1.27949768166122	1.65124642814004e-26	6.83657138803149e-24
SCNN1B	82.6887227642276	37.5931808429119	-1.13721959529269	1.15463640701489e-18	6.76026009480873e-17
TTLL10	1.88613123306233	0.744604469987229	-1.34088387713408	0.00161836073269672	0.00378708877141076
KCNK17	5.42252479674797	2.68926558109834	-1.01175250820458	3.53293221357132e-06	1.58335459437607e-05
NAALADL2-AS2	0.950267208672087	2.07667860791826	1.12787280666043	6.04054669609093e-06	2.57456901452245e-05
MGAT5B	0.520759756097561	1.83945300127714	1.82058694778433	8.21906964410718e-12	1.19101168367816e-10
