Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-50-5936-11A-01R-1628-07	0.0142473618131937	0	0.0123531405061639	0.0706196809855398	0	0.153608886826751	0	0.0235577726614435	0	0	0.0399106451563157	0.0385114608140127	0.0890083615070833	0.232478975616031	0.00756538954388756	0.128574047003848	0.0140681310258238	0.0447003469922031	0.0477679831753239	0	0.0812529782365136	0.0017748381358656	0.034	0.178878187089278	1.0130131483717
TCGA-91-6835-11A-01R-1858-07	0.0266255144378714	0	0.0436833327384952	0.0857071681977447	0	0.221357277911079	0	0.0462358518203746	0.0173775172438889	0	0	0.0376596938347201	0.0304988658758113	0.00120785066876441	0.119363574992082	0.211346497113015	0.0229121383391836	0	0.127742970194049	0	0	0.00828174663292049	0.039	0.163756315674417	1.01719924530468
TCGA-91-6849-11A-01R-1949-07	0.0658963613623613	0	0.0554680672238597	0.0730148520924645	0	0.154521478983908	0	0.0364386068544653	0	0	0.0873562865168631	0.0126169531566462	0.0435308430484234	0.138281472189811	0.0404186486317346	0.158313382814496	0.00407370143658389	0.0417419896762579	0.0483648807888028	0	0.0284196805254225	0.0115427946979002	0.022	0.21450691596154	0.992557324342412
TCGA-55-6978-11A-01R-1949-07	0.0241573993836511	0	0.0231871245541339	0.076830743474029	0	0.228925298765062	0	0.00796184176229773	0	0	0.0760219802158583	0.0447462443662084	0.0546982847430638	0.0690625778748261	0.024232998454419	0.134211049713775	0.0212000866006475	0.041495525877175	0.134156189259867	0	0.00455351622310305	0.0345591387318829	0.033	0.180085092659878	1.0073539702102
TCGA-44-6145-11A-01R-1858-07	0.0119368165982922	0.00741464224495181	0.0357495204947379	0.0775091249613789	0	0.214424574772564	0.0170264823689093	0	0	0	0.0711803871355695	0	0.0611842267128485	0.210163344966059	0	0.0935537991903661	0	0.0523165184998215	0.0957013556658092	0	0.0120687470047373	0.0397704593839548	0.0600000000000001	0.138371714436208	1.02577381090474
TCGA-44-6147-11A-01R-1858-07	0.0691863184161655	0	0.0387775231971819	0.0493129169265465	0	0.202241812648207	0.00469318379209716	0	0	0	0.0817214267023194	0	0.0562925568001781	0.174443150312554	0.00702326179039631	0.0997477437438011	0	0.0658404420827232	0.0248392216429392	0.01652282799754	0	0.10935761394735	0.025	0.202360002211297	1.00189136790215
TCGA-55-6971-11A-01R-1949-07	0.0400343292905266	0	0.0341266587545364	0.123933600980723	0	0.19642422582779	0	0	0	0	0.0572003948116163	0	0.0430456674963227	0.136055372341468	0.0165609907132107	0.1758183619932	0.0207458997270036	0.0154335366739161	0.0955868203306525	0	0.0198736662552222	0.025160474803812	0.018	0.232977672513667	0.985752741608107
TCGA-49-6743-11A-01R-1858-07	0.0424508106704546	0	0.0251055680325461	0.0895498578564034	0	0.190896183878635	0.0108022241990198	0.0381164689006754	0.00742020611358021	0	0.00397744902673931	0.000350961916305697	0.0381331773168295	0.180362746634797	0.0117591756224629	0.180894731252132	0.0158185943379097	0.0120345191412959	0.0743237974525624	0	0.070274543723104	0.00772898392454668	0.04	0.162307411758914	1.01607579732911
TCGA-49-6761-11A-01R-1949-07	0.0269250263042272	0	0.00555357968981267	0.0775669268204708	0	0.120517220299373	0	0	0	0	0.126128141453876	0.0187514103912588	0.0396414012369046	0.278433815533462	0.0117219587510574	0.103507700881225	0.0337371900389048	0.0718924773723441	0.0805746153095793	0	0	0.0050485359175032	0.002	0.345455696553475	0.943211792295336
TCGA-44-2655-11A-01R-1758-07	0.103490089384516	0	0.0225182837053093	0.113219991866282	0	0.217102680456198	0	0.00408423662817717	0	0	0.0289680331531594	0.0216533524364253	0.0699714848961678	0.0870828883104086	0.0279173272396037	0.137258751188947	0.0176585779452125	0.00361101677301239	0.115424595930061	0	0.0195834933810533	0.0104551967054675	0.016	0.240910727495174	0.981600792401617
TCGA-44-6144-11A-01R-1755-07	0.0194624406903826	0	0.00306103147856879	0.0736097850472131	0	0.224143487547601	0	0.00150832357150009	0	0	0.0437600805761943	0	0.0134413810870697	0.221899943093899	0.0446779204415615	0.240428027384174	0.0420334481161815	0.0196692875619827	0.0349410538116339	0	0.00688134137805739	0.0104824482139809	0.003	0.336400711361503	0.947843808924556
TCGA-44-5645-11A-01R-1628-07	0.0665139855602393	0	0.0389551949850659	0.0834799944466546	0	0.218086832174369	0	0	0.00255019424889264	0	0.0828817769001847	0.00786378847685218	0.0306082309643653	0.127414356456511	0.0194805437909427	0.164836109076343	0.00985090498085153	0.00160345753563005	0.118381745342768	0	0	0.0274928850603294	0.017	0.236322982850437	0.984530077418455
TCGA-91-6836-11A-01R-1858-07	0.0217459984542173	0	0.0178430069660098	0.148444386960423	0	0.179270702759686	0.00789549362115089	0	0.00476965519038715	0	0.041500676629018	0	0.0371148709575799	0.207098235903661	0.00837097160030315	0.215915478003262	0.013026067410568	0.0129068834020319	0.040287033734514	0	0.0142586921609723	0.0295518462462149	0.014	0.255587958473541	0.983406631306062
TCGA-44-2657-11A-01R-1758-07	0.178398622064164	0	0.0820010639146167	0.110612711089576	0	0.105511329306266	0	0.0929343253695211	0.0649262057530605	0	0	0.0341256340630466	0.0217116833989565	0.0277912967198508	0.0130281423465151	0.126685110959898	0.0177969085813772	0.0385661556794255	0.060911886621962	0	0	0.0249989241317632	0	0.447061981352935	0.893735197670466
TCGA-73-4676-11A-01R-1755-07	0.0169715766789002	0	0.0228873322928413	0.207854117598398	0	0.125716858990801	0.0211465915637788	0	0	0	0.0635476610121718	0.0154199677140294	0.0417318469769955	0.166455061913163	0.00930639211506208	0.166104017226534	0.0273295440102573	0.0327320481984552	0.0585978393545929	0	0.00632809967618903	0.0178710446778299	0.024	0.207344893345329	1.00151823529294
TCGA-38-4626-11A-01R-1758-07	0.00913975184416816	0.000910065926466296	0.0209999739651856	0.0698323395085393	0	0.0853861140388697	0.00456003685487759	0.00142867745699463	0	0	0.0193285859948185	0.0119049527822576	0.0634937468457826	0.339203317883207	0	0.197751040111412	0.0151632198996262	0.0497621267763649	0	0.0585442414914058	0.015493896450027	0.0370979121699963	0.00600000000000001	0.28765241054474	0.981127347747324
TCGA-49-4490-11A-01R-1858-07	0.0203709417159577	0	0.0326829214301038	0.179808887591746	0	0.229004069872963	0	0	0	0	0.0547467024006532	0.032475406165954	0.0239087348543275	0	0.0285821083733642	0.16327813504621	0.0717703785549634	0.00641365026966572	0.129133033725984	0	0	0.0278250299981069	0.0649999999999999	0.134953916393301	1.03030822171804
TCGA-44-6146-11A-01R-1858-07	0.0169832985173531	0	0.0415919258905217	0.183383558393184	0	0.25970005230008	0	0.0172797498776811	0.00736202975318019	0	0.0303443993213985	0.0216632683027319	0.035713672150434	0	0.0462079940183591	0.169744011074584	0.0160228421035314	0.00948449791335926	0.0843103975632326	0	0.0116296188985562	0.0485786839218129	0.041	0.16084282276363	1.02270550235775
TCGA-50-6595-11A-01R-1858-07	0.0142253183655443	0	0.015390796257491	0.115271019353272	0	0.320015978054502	0	0	0	0	0.053991414419414	0.0464521996788562	0.0321687727917334	0.0695164649511765	0.0563443124312441	0.110842435750105	0.0206092049537666	0.0032287607881202	0.125214212175089	0	0	0.0167291100296856	0.022	0.216123796354717	1.0008789732159
TCGA-44-3396-11A-01R-1758-07	0.0209597895592522	0.000327235293987082	0.0200542894876964	0.150241957956004	0	0.240793186136446	0	0	0	0	0.0244931306026944	0.00987380477474189	0.0529543372537807	0.0973462671853759	0.0512046715280941	0.160236717698943	0.0220304162379451	0.00575699519812558	0.10499856503349	0	0	0.0387286360534233	0.049	0.153763695939403	1.0200746667596
TCGA-35-5375-01A-01R-1628-07	0	0.0872103560499587	0.13591323665748	0.106439280516944	0	0.0859186337658028	0.0157178943427289	0.0862607283638427	0.0342336220856835	0.105529311456939	0	0	0	0.024132519686092	0.110937102771369	0.108501381106659	0.0401050422461039	0	0.0292765619225191	0.0125318607084279	0	0.0172924683194498	0.003	0.329195608840406	0.950241788034785
TCGA-55-A4DF-01A-11R-A24H-07	0.0593278109366799	0	0.10462503780517	0.0958368342231081	0	0.138475962284772	0.054141899912192	0.0425363686039348	0.0466798959886907	0	0.0134010049652369	0	0	0.176067621898717	0.168186574473198	0.0403842020674534	0.0160507530713012	0	0.044286033769545	0	0	0	0.012	0.270662333824022	0.979729387236197
